id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
895,St Brigid's Catholic College,48 Carters Road,Lake Munmorah,2259,Catholic,Secondary,-33.187111,151.573255,NSW
896,ET Australia Secondary College,123 Donnison Street,Gosford,2250,Independent,Secondary,-33.427621,151.342756,NSW
897,Wollongong Flexible Learning Centre,440-450 Princes Highway,Towradgi,2518,Independent,Secondary,-34.38325,150.895325,NSW
898,Aurora Southern Highlands Steiner School,15-17 Kirkham Road,Bowral,2576,Independent,Primary,-34.471784,150.419022,NSW
899,International Football School,16 The Avenue Mt Penang Parklands,Kariong,2250,Independent,Combined,-33.429124,151.298282,NSW
900,Pal Buddhist School,14 First Avenue,Canley Vale,2166,Independent,Secondary,-33.887851,150.943881,NSW
901,Irfan College,2089 Elizabeth Drive,Cecil Park,2178,Independent,Combined,-33.876415,150.825571,NSW
902,St Aloysius Catholic Primary School,24 Heritage Drive,Chisholm,2322,Catholic,Primary,-32.7558,151.6332,NSW
903,Craig Davis College,72-98 Staff Road,Cordeaux Heights,2526,Independent,Secondary,-34.446484,150.830947,NSW
904,Ngaruki Gulgul,Gate 1  Kangoo Road,Kariong,2250,Independent,Secondary,-33.427649,151.290301,NSW
905,Western College Alesco Learning Centre,37 Cobbora Road,Dubbo,2830,Independent,Combined,-32.243946,148.618789,NSW
906,Australian International Academy  Kellyville Campus,57-69 Samantha Riley Drive,Kellyville,2155,Independent,Combined,-33.697254,150.963129,NSW
907,Our Lady of the Assumption Catholic Primary School,1a Hamilton Street East,North Strathfield,2137,Catholic,Primary,-33.858,151.0864,NSW
908,St Mary's Flexible Learning Centre,63 Forrester Rd,St Mary's,2760,Independent,Secondary,-33.760372,150.775405,NSW
909,The Anglican School Googong,136 Gorman Drive,Googong,2620,Independent,Primary,-35.42238,149.23263,NSW
910,Pacific Hope School,3a Acacia Street,Tweed Heads South,2486,Independent,Special,-28.197637,153.520713,NSW
911,Eileen O???onnor Catholic College,7 Thomas Street,Lewisham,2049,Catholic,Special,-33.892776,151.148653,NSW
912,New Hope School,9-15 Quarry Road,Dural,2158,Independent,Special,-33.69576,151.03891,NSW
913,Eagle Arts and Vocational College,139 Colonial Drive,BLIGH PARK,2756,Independent,Secondary,-31.985556,141.467656,NSW
914,The Waranara Centre,434 Marrickville Rd,Marrickville,2204,Independent,Secondary,-33.907792,151.148614,NSW
915,Kingdom Culture Christian School,19 Dowling Street,Arncliffe,2205,Independent,Primary,-33.936132,151.138979,NSW
916,St Luke's Catholic College (Primary),Lot 1104 Cnr Frontier Avenue & Northbourne Drive,MARSDEN PARK,2765,Catholic,Primary,-33.69893,150.819333,NSW
917,Skillset Senior College,390 Panorama Avenue,Mitchell,2795,Independent,Secondary,-33.43673,149.56417,NSW
918,International Chinese School,1 View Street,Chatswood,2067,Independent,Primary,-33.795121,151.177478,NSW
919,St Patrick's Catholic Primary School,1 Adam Street,MORTLAKE,2137,Catholic,Primary,-33.8473272,151.1083142,NSW
920,St Anthony of Padua Catholic School,Eleventh Avenue,AUSTRAL,2179,Catholic,Primary,-33.930688,150.810199,NSW
921,SEDA College,180 George St,Redfern,2016,Independent,Secondary,-33.89496,151.201626,NSW
922,Al-Faisal College - Liverpool,83-87 Gurner Avenue,Austral,2179,Independent,Combined,-33.90998,150.810256,NSW
923,Al-Faisal College - Campbelltown,10 Benham Road,Minto,2566,Independent,Combined,-34.02223,150.857622,NSW
924,D.A.L.E. Young Parents School,98 Georgetown Road,Waratah,2298,Independent,Secondary,-32.906787,151.723149,NSW
925,Pete's Place,151 Reservoir Road,Blacktown,2148,Independent,Secondary,-33.790439,150.900217,NSW
926,Cranbrook School,6a Kent Rd,Rose Bay,2029,Independent,Combined,-33.873565,151.265237,NSW
927,Knox Grammar School,Billyard Avenue,Wahroonga,2076,Independent,Combined,-33.718483,151.120906,NSW
928,Meriden School,36 Redmyre Rd,Strathfield,2135,Independent,Combined,-33.87384,151.091718,NSW
929,Newington College,26 Northcote Rd,Lindfield,2070,Independent,Combined,-33.768823,151.172395,NSW
930,The Scots College,Mansion Rd,Bellevue Hill,2023,Independent,Combined,-33.879915,151.253889,NSW
931,The Scots College,Jack's Corner Road,Kangaroo Valley,2577,Independent,Combined,-34.728633,150.450948,NSW
932,Trinity Grammar School,125 The Boulevarde,Strathfield,2135,Independent,Combined,-33.881995,151.091679,NSW
933,St George Christian School,4 Hillview St,Sans Souci,2219,Independent,Combined,-33.986826,151.134441,NSW
934,St Spyridon College,1130 Anzac Parade,Maroubra,2035,Independent,Combined,-33.955014,151.244024,NSW
935,Santa Sabina College,59/63 The Boulevarde,Strathfield,2135,Independent,Combined,-33.877508,151.094737,NSW
936,Queenwood School for Girls Ltd,6 Queen Street,Mosman,2088,Independent,Combined,-33.834768,151.242551,NSW
937,Coffs Harbour Christian Community School,Curacoa Street,Coffs Harbour,2450,Independent,Combined,-30.299792,153.120744,NSW
938,Sydney Church of England Co-Educational Grammar School  Redlands,Murdoch Street,Cremorne,2090,Independent,Combined,-33.832115,151.227214,NSW
939,St Gregory's Primary School,MacQuoid St,Queanbeyan,2620,Catholic,Primary,-35.352722,149.240583,NSW
940,St Edward's Primary School,Robert Street,Tamworth,2340,Catholic,Primary,-31.108784,150.914716,NSW
941,All Saints College,9 Free Church Street,Maitland,2320,Catholic,Secondary,-32.734305,151.559253,NSW
942,All Saints College,New England Highway,Lochinvar,2321,Catholic,Secondary,-32.697761,151.45795,NSW
943,St Aloysius' College,29 Burton Street,Milsons Point,2061,Independent,Combined,-33.846599,151.213707,NSW
944,Glenaeon Rudolf Steiner School,117 Edinburgh Rd,Castlecrag,2068,Independent,Combined,-33.802123,151.214896,NSW
945,Waverley College,44 Henrietta Street,Waverley,2024,Independent,Combined,-33.900808,151.257624,NSW
946,Trinity Catholic College,39 Regent St,Regents Park,2143,Catholic,Secondary,-33.878902,151.027758,NSW
947,All Saints Greek Orthodox Grammar School,31 Forsyth Street,South Belmore,2192,Independent,Combined,-33.929323,151.095355,NSW
948,Lindisfarne Anglican School,Sunshine Avenue,Tweed Heads,2486,Independent,Combined,-28.195998,153.533599,NSW
949,Aspect South East Sydney School,116 Chapel Road,Marrickville,2204,Independent,Special,-33.890544,151.215239,NSW
950,St Andrews College,50 Breakfast Road,Marayong,2148,Catholic,Secondary,-33.748997,150.88958,NSW
951,St John Paul ll Catholic College (Schofields),Nirimba Education Precinct/Eastern Road,Quakers Hill,2763,Catholic,Secondary,-33.725727,150.88093,NSW
952,Amity College,399 Shellharbour Road,Shellharbour,2529,Independent,Combined,-34.573432,150.864045,NSW
953,Newington College,117 Cambridge Street,Stanmore,2048,Independent,Combined,-33.895219,151.166692,NSW
954,Newcastle Grammar School,127 Union Street,Cooks Hill,2300,Independent,Combined,-32.935149,151.762356,NSW
955,Amity College,26-28 Kerr Parade,Auburn,2144,Independent,Combined,-33.852581,151.034379,NSW
956,M.E.T. School,84A Princes Highway,Darkes Forest,2518,Independent,Combined,-34.363225,150.903841,NSW
957,M.E.T. School,253-257 Dalton Street,East Orange,2800,Independent,Combined,-33.27701,149.107076,NSW
958,Al Amanah College,55 Speed Street,Liverpool,2170,Independent,Combined,-33.930181,150.921069,NSW
959,M.E.T. School,84 Great Western Highway,Mount Victoria,2786,Independent,Combined,-33.589042,150.252934,NSW
