id,school_name,school_type,Official Low Year Level,Official High Year Level,school_address,suburb,postcode,Sector,sector,school_lon,school_lat
713,Ilfracombe State School,,Prep Year,Year 6,20 McMaster Drive,Ilfracombe,4727,State,,144.504625,-23.489007
5016,Immaculate Heart School (Leichhardt),,Prep Year,Year 6,24 Old Toowoomba Road,Leichhardt,4305,Non-State,Catholic,152.738667,-27.628718
5499,Immanuel Lutheran College (Buderim),,Prep Year,Year 12,126-142 Wises Road,Buderim,4556,Non-State,Independent,153.082393,-26.671023
8578,Inala Flexible Learning Centre (Inala),,Year 7,Year 12,79 Poinsettia Street,Inala,4077,Non-State,Catholic,152.96655,-27.59786
1116,Inala State School,,Prep Year,Year 6,Rosemary Street,Inala,4077,State,,152.976809,-27.586839
2034,Indooroopilly State High School,,Year 7,Year 12,Ward Street,Indooroopilly,4068,State,,152.984077,-27.500587
585,Indooroopilly State School,,Prep Year,Year 6,Cnr Moggill Road & Russell Terrace,Indooroopilly,4068,State,,152.965494,-27.500369
2027,Ingham State High School,,Year 7,Year 12,12 Menzies Street,Ingham,4850,State,,146.168634,-18.653759
450,Ingham State School,,Early Childhood,Year 6,28 McIlwraith Street,Ingham,4850,State,,146.161583,-18.652592
661,Ingleside State School,,Prep Year,Year 6,893 Tallebudgera Creek Road,Tallebudgera Valley,4228,State,,153.381492,-28.165698
55,Inglewood State School,,Early Childhood,Year 10,Chilcott Street,Inglewood,4387,State,,151.07706,-28.416159
1723,Injune P-10 State School,,Prep Year,Year 10,Cnr Hutton Street & Fourth Avenue,Injune,4454,State,,148.565118,-25.846756
1660,Innisfail East State School,,Prep Year,Year 6,92 Mourilyan Road,East Innisfail,4860,State,,146.032726,-17.534788
