,Unnamed: 0_level_0,Quarter,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4
,district,suburb,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences
74,,Kingston,0,11,0,0,14,12,45,0,0,2,32,30,15,0,5,0,0,9,8,15,3,0,0,29,15,18,0,6,0,0,4,5,16,0,0,0,33,17,29,0,4,2,0,7,1,28,0,0,1,18,27,12
75,,Narrabundah,1,10,32,0,18,12,21,0,0,1,42,32,29,0,5,6,0,10,8,16,1,1,3,77,34,24,0,13,0,0,7,1,29,0,0,2,41,26,28,0,3,0,0,2,2,26,0,0,2,32,43,29
76,,Oaks Estate,0,3,0,0,1,0,4,0,0,0,9,3,5,0,2,0,0,2,0,2,3,0,0,2,3,1,0,0,0,0,1,2,1,0,0,1,7,4,5,0,1,1,0,1,0,14,0,0,1,4,10,4
77,,Pialligo,0,2,0,0,1,0,9,0,0,3,39,2,5,0,0,0,0,0,0,6,0,0,2,36,2,6,0,1,0,0,1,2,1,0,0,3,22,1,10,0,1,0,0,1,0,6,0,0,2,18,2,10
78,,Red Hill,0,6,2,0,5,1,12,0,0,2,23,12,22,0,1,0,0,4,1,14,0,0,1,34,9,23,1,1,1,0,4,0,12,1,0,1,41,6,18,0,4,0,0,1,3,9,0,0,1,15,13,20
79,,Symonston,0,1,0,0,5,2,6,1,0,1,65,7,8,0,1,0,0,5,1,7,0,0,1,76,8,8,0,0,0,0,3,2,13,0,0,2,21,4,16,0,2,0,0,2,1,7,0,0,1,20,3,9
80,,Yarralumla,0,2,0,1,15,7,21,0,0,0,55,19,13,1,0,1,0,9,4,11,0,0,2,66,7,17,0,5,0,0,3,2,13,0,0,2,56,12,9,0,4,0,0,6,4,20,0,0,2,50,16,19
81,Weston Creek,,0,16,6,0,26,15,77,1,0,7,457,70,115,0,17,1,0,36,12,67,1,0,9,252,63,99,0,20,15,0,12,17,71,0,0,3,226,108,114,0,11,1,0,29,16,87,3,1,8,137,59,97
82,,Chapman,0,0,0,0,2,0,5,0,0,0,6,3,6,0,1,0,0,4,1,7,0,0,1,21,8,5,0,1,1,0,2,3,5,0,0,0,10,10,7,0,0,0,0,1,1,7,0,0,0,5,6,2
83,,Duffy,0,0,3,0,3,0,4,0,0,1,15,7,8,0,5,0,0,6,2,7,0,0,0,3,9,4,0,3,0,0,0,4,9,0,0,0,16,8,2,0,2,0,0,3,2,6,0,0,1,6,4,5
84,,Fisher,0,0,0,0,3,2,10,0,0,0,16,3,4,0,1,0,0,4,0,11,0,0,0,25,10,6,0,2,1,0,4,1,6,0,0,0,21,6,11,0,0,0,0,5,1,11,0,0,0,11,9,11
85,,Holder,0,1,0,0,3,0,7,0,0,2,11,4,4,0,0,0,0,3,1,6,0,0,1,4,4,3,0,0,0,0,3,1,9,0,0,0,10,13,9,0,1,0,0,5,2,17,0,0,0,3,2,5
86,,Rivett,0,4,1,0,3,4,11,1,0,1,4,10,15,0,4,0,0,4,3,5,0,0,0,18,2,14,0,4,12,0,2,4,5,0,0,1,9,6,12,0,3,0,0,3,2,8,0,0,2,14,7,12
87,,Stirling,0,2,1,0,1,1,7,0,0,1,14,6,10,0,0,0,0,1,1,2,0,0,1,36,4,11,0,3,0,0,0,3,2,0,0,0,19,2,14,0,1,0,0,1,0,3,0,0,0,19,4,7
88,,Stromlo,0,1,0,0,0,0,1,0,0,2,40,1,11,0,0,0,0,0,1,2,0,0,0,12,4,1,0,0,0,0,1,0,1,0,0,0,17,1,18,0,0,0,0,0,0,1,0,0,2,21,1,0
89,,Waramanga,0,3,1,0,5,1,16,0,0,0,10,10,14,0,4,0,0,4,2,4,0,0,2,22,2,15,0,3,0,0,0,0,6,0,0,1,26,3,14,0,1,0,0,1,0,8,0,0,1,11,9,23
90,,Weston,0,5,0,0,6,7,16,0,0,0,341,26,43,0,2,1,0,10,1,23,1,0,4,111,20,40,0,4,1,0,0,1,28,0,0,1,98,59,27,0,3,1,0,10,8,26,3,1,2,47,17,32
