,,,0
10,Q1,Homicide,0.0
10,Q1,Assault,0.0
10,Q1,Sexual assault,0.0
10,Q1,Offences against a person,1.0
10,Q1,Burglary,2.0
10,Q1,Motor vehicle theft,1.0
10,Q1,Theft (excluding Motor Vehicles),5.0
10,Q1,Robbery,0.0
10,Q1,Road fatality,0.0
10,Q1,Road collision with injury,0.0
10,Q1,Traffic Infringement Notices,11.0
10,Q1,Property damage,5.0
10,Q1,Other offences,17.0
10,Q1,suburb,
10,Q1,district,
10,Q2,Homicide,0.0
10,Q2,Assault,1.0
10,Q2,Sexual assault,1.0
10,Q2,Offences against a person,1.0
10,Q2,Burglary,6.0
10,Q2,Motor vehicle theft,3.0
10,Q2,Theft (excluding Motor Vehicles),6.0
10,Q2,Robbery,1.0
10,Q2,Road fatality,0.0
10,Q2,Road collision with injury,1.0
10,Q2,Traffic Infringement Notices,12.0
10,Q2,Property damage,4.0
10,Q2,Other offences,33.0
10,Q2,suburb,
10,Q2,district,
10,Q3,Homicide,0.0
10,Q3,Assault,0.0
10,Q3,Sexual assault,0.0
10,Q3,Offences against a person,0.0
10,Q3,Burglary,4.0
10,Q3,Motor vehicle theft,0.0
10,Q3,Theft (excluding Motor Vehicles),3.0
10,Q3,Robbery,0.0
10,Q3,Road fatality,0.0
10,Q3,Road collision with injury,0.0
10,Q3,Traffic Infringement Notices,11.0
10,Q3,Property damage,4.0
10,Q3,Other offences,6.0
10,Q3,suburb,
10,Q3,district,
10,Q4,Homicide,0.0
10,Q4,Assault,0.0
10,Q4,Sexual assault,0.0
10,Q4,Offences against a person,1.0
10,Q4,Burglary,2.0
10,Q4,Motor vehicle theft,1.0
10,Q4,Theft (excluding Motor Vehicles),5.0
10,Q4,Robbery,0.0
10,Q4,Road fatality,0.0
10,Q4,Road collision with injury,0.0
10,Q4,Traffic Infringement Notices,11.0
10,Q4,Property damage,5.0
10,Q4,Other offences,17.0
10,Q4,suburb,
10,Q4,district,
10,Quarter,Homicide,
10,Quarter,Assault,
10,Quarter,Sexual assault,
10,Quarter,Offences against a person,
10,Quarter,Burglary,
10,Quarter,Motor vehicle theft,
10,Quarter,Theft (excluding Motor Vehicles),
10,Quarter,Robbery,
10,Quarter,Road fatality,
10,Quarter,Road collision with injury,
10,Quarter,Traffic Infringement Notices,
10,Quarter,Property damage,
10,Quarter,Other offences,
10,Quarter,suburb,Fraser
10,Quarter,district,
11,Q1,Homicide,0.0
11,Q1,Assault,0.0
11,Q1,Sexual assault,0.0
11,Q1,Offences against a person,0.0
11,Q1,Burglary,2.0
11,Q1,Motor vehicle theft,1.0
11,Q1,Theft (excluding Motor Vehicles),9.0
11,Q1,Robbery,0.0
11,Q1,Road fatality,0.0
11,Q1,Road collision with injury,0.0
11,Q1,Traffic Infringement Notices,16.0
11,Q1,Property damage,5.0
11,Q1,Other offences,14.0
11,Q1,suburb,
11,Q1,district,
11,Q2,Homicide,0.0
11,Q2,Assault,3.0
11,Q2,Sexual assault,0.0
11,Q2,Offences against a person,0.0
11,Q2,Burglary,0.0
11,Q2,Motor vehicle theft,1.0
11,Q2,Theft (excluding Motor Vehicles),14.0
11,Q2,Robbery,1.0
11,Q2,Road fatality,0.0
11,Q2,Road collision with injury,0.0
11,Q2,Traffic Infringement Notices,11.0
11,Q2,Property damage,13.0
11,Q2,Other offences,10.0
11,Q2,suburb,
11,Q2,district,
11,Q3,Homicide,0.0
11,Q3,Assault,2.0
11,Q3,Sexual assault,0.0
11,Q3,Offences against a person,1.0
11,Q3,Burglary,0.0
11,Q3,Motor vehicle theft,1.0
