,,,,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count
period,,,,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
suburb,postcode,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,
ALBERT PARK,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1.0,,,2.0,,,,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,
ALBERT PARK,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2.0,4.0,5.0,5.0,8.0,4.0,4.0,8.0,5.0,4.0,9.0,10.0,6.0,8.0,4.0,5.0,1.0,4.0,5.0,4.0,4.0,4.0
ALBERT PARK,5014,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,,,,1.0,,,,,,,,,,,1.0,,,,,,,
ALBERT PARK,5014,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,
ALBERT PARK,5014,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,,,,,,,,,,,,,,,1.0,,,,,,,
ALBERT PARK,5014,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,,1.0,1.0,1.0,5.0,,2.0,1.0,,2.0,1.0,2.0,,2.0,,2.0,,,4.0,3.0,,1.0
ALBERT PARK,5014,SERIOUS CRIMINAL TRESPASS,SCT - Residence,3.0,2.0,,3.0,2.0,2.0,,5.0,7.0,,1.0,1.0,,3.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Other theft,2.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,7.0,9.0,6.0,8.0,5.0,4.0,4.0,6.0,4.0,,2.0,1.0,4.0
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,,,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,2.0
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2.0,4.0,2.0,7.0,4.0,2.0,3.0,5.0,16.0,4.0,3.0,5.0,5.0,4.0,4.0,10.0,5.0,2.0,1.0,1.0,,1.0
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Theft from shop,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,3.0,,2.0,,1.0,,,
ALBERT PARK,5014,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1.0,2.0,2.0,1.0,1.0,1.0,,3.0,,3.0,,,5.0,1.0,1.0,3.0,1.0,,2.0,,1.0,
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Assault Police,,1.0,,1.0,,,,,,,,,,,,,,,,,,
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Common Assault,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,,1.0,3.0,1.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1.0,5.0,6.0,2.0,1.0,4.0,5.0,2.0,,2.0,3.0,7.0,7.0,2.0,1.0,4.0,2.0,6.0,5.0,2.0,4.0,7.0
ALBERTON,5014,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,,,,,,,,1.0,,,,,1.0,,,,,,,,
ALBERTON,5014,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,2.0,1.0,,,2.0,1.0,1.0,,,1.0,,2.0,1.0,3.0,3.0,,,4.0,3.0,3.0,1.0,
