id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
319,St Joseph The Worker Catholic Primary School,2 New Street,Auburn South,2144,Catholic,Primary,-33.864697,151.02426
320,St Joseph's School,26 Coreen St,Jerilderie,2716,Catholic,Primary,-35.358181,145.724032
321,St Kevin's Catholic Primary School,57 - 59 Oaks Avenue,Dee Why,2099,Catholic,Primary,-33.754445000000004,151.29036399999998
322,St Kevin's Catholic Primary School,28 Hillview Road,Eastwood,2122,Catholic,Primary,-33.789546,151.078684
323,St Kieran's Catholic Primary School,63 Gordon Street,Manly Vale,2093,Catholic,Primary,-33.801553000000006,151.255521
324,St Laurence's Primary School,Fitzroy Street,Dubbo,2830,Catholic,Primary,-32.260407,148.611988
325,St Lawrence's Primary School,Dalgarno St,Coonabarabran,2357,Catholic,Primary,-31.275219,149.27338400000002
326,St Leo's Catholic College,16 Woolcott Ave,Wahroonga,2076,Catholic,Secondary,-33.715037,151.10433799999998
327,St Luke's Catholic Primary School,75-79 Victoria Street,Revesby,2212,Catholic,Primary,-33.945569,151.016979
328,St Margaret Mary's Primary School,7 Chetwynd Road,Merrylands,2160,Catholic,Primary,-33.836279,150.981727
329,St Margaret Mary's Catholic Primary School,Cnr Avoca St and Clovelly Rd,Randwick,2031,Catholic,Primary,-33.90529,151.244676
330,St Mark's Catholic Primary School,31 Tranmere St,Drummoyne,2047,Catholic,Primary,-33.855573,151.154133
331,St Maroun's College,194-206 Wardell Road,Dulwich Hill,2203,Independent,Combined,-33.908235999999995,151.144181
332,St Martha's Catholic Primary School,88 Churchill Avenue,Strathfield,2135,Catholic,Primary,-33.873815,151.086979
333,St Mary of the Angels Primary School,36 Wirruna Street,Guyra,2365,Catholic,Primary,-30.225568,151.67242
334,St Mary's Primary School,156 Rusden Street,Armidale,2350,Catholic,Primary,-30.516282,151.66403400000002
335,St Mary Star of the Sea College,Harbour Street,Wollongong,2500,Independent,Secondary,-34.424075,150.903403
336,St Mary's Primary School,Park Street,Bellingen,2454,Catholic,Primary,-30.455709999999996,152.898143
337,St Mary's Catholic Primary School,2 Broughton Street,Concord,2137,Catholic,Primary,-33.86792,151.103026
338,All Saints Catholic College,53 Bigge Street,Liverpool,2170,Catholic,Secondary,-33.920035999999996,150.926859
339,St Mary's High School,Pacific Highway,Gateshead,2290,Catholic,Secondary,-32.980587,151.692941
340,St Mary's Catholic School,Percy St,Wellington,2820,Catholic,Combined,-32.556533,148.943445
341,All Saints Catholic Primary School (Liverpool),George Street,Liverpool,2170,Catholic,Primary,-33.919077,150.926265
342,Rosebank College,1A Harris Road,Five Dock,2046,Independent,Secondary,-33.868701,151.12221200000002
343,St Mary's School,Selwyn Street,Batlow,2730,Catholic,Primary,-35.521774,148.146249
344,St Mary's Primary School,Carbin Street,Bowraville,2449,Catholic,Primary,-30.650993,152.850688
345,St Mary's Catholic College,Canterbury Street,Casino,2470,Catholic,Secondary,-28.861067,153.045384
346,St Mary's Primary School,207 Federation Drive,Corowa,2646,Catholic,Primary,-35.996528000000005,146.388105
347,St Mary's School,Wade Street,Crookwell,2583,Catholic,Primary,-34.462394,149.46928799999998
348,St Mary's Primary School,Wheeler'S Lane,Dubbo,2830,Catholic,Primary,-32.242336,148.63138500000002
349,St Mary's Catholic Primary School ,54 Swanson Street,Erskineville,2043,Catholic,Primary,-33.900199,151.187625
350,St Mary's Primary School,436 Moppett Street,Hay,2711,Catholic,Primary,-34.508916,144.839753
351,St Mary's Catholic Primary School,Whistler St,Manly,2095,Catholic,Primary,-33.795043,151.286323
352,St Mary's School,Queen Street,Moruya,2537,Catholic,Primary,-35.909964,150.080108
353,St Mary's Catholic Primary School ,40 Ridge Street,North Sydney,2060,Catholic,Primary,-33.832701,151.207592
354,St Mary's Primary School,Cnr Byng & Park Streets,Orange East,2800,Catholic,Primary,-33.284615,149.117119
355,St Mary's Primary School,1 Myrtle St,Rydalmere,2116,Catholic,Primary,-33.811898,151.040766
356,St Mary's Primary School,12 Short Street,Scone,2337,Catholic,Primary,-32.053022,150.872225
357,St Mary's Primary School,2 Bayview St,Warners Bay,2282,Catholic,Primary,-32.975937,151.648849
358,St Mary's Primary School,2 Lawson Street,Warren,2824,Catholic,Primary,-31.699525,147.838373
359,St Mary's Primary School,Edon Street,Yoogali,2680,Catholic,Primary,-34.300591,146.083074
360,St Mary's Primary School,Elizabeth Street,Young,2594,Catholic,Primary,-34.308091,148.300263
361,St Mary's Star of the Sea Catholic Primary School,24-26 Croydon Road,Hurstville,2220,Catholic,Primary,-33.960257,151.111775
362,St Mary's Star of the Sea Catholic Primary School,Corks Lane,Milton,2538,Catholic,Primary,-35.311398,150.43026
363,St Mary's War Memorial School,England Street,West Wyalong,2671,Catholic,Primary,-33.926278,147.205942
364,St Matthew's Catholic School,4 Lewis Street,Mudgee,2850,Catholic,Combined,-32.593070000000004,149.590336
365,St Matthew's Primary School,Tebbutt Street,Windsor,2756,Catholic,Primary,-33.6096,150.81528600000001
366,St Mel's Catholic Primary School,14 Duke Street,Campsie,2194,Catholic,Primary,-33.910999,151.105925
367,St Michael's School,Tucklan Street,Dunedoo,2844,Catholic,Primary,-32.05976,149.260333
368,St Michael's School,3-5 Chapel Lane,Baulkham Hills,2153,Catholic,Primary,-33.743606,150.980025
369,St Michael's Catholic Primary School,24 Margaret Street,Belfield,2191,Catholic,Primary,-33.901446,151.088022
370,St Michael's Primary School,155 Reservoir Road,Blacktown South,2148,Catholic,Primary,-33.789893,150.899006
371,St Michael's School,55 Methul Street,Coolamon,2701,Catholic,Primary,-34.817776,147.203353
372,St Michael's Catholic Primary School,Haig Avenue,Daceyville,2032,Catholic,Primary,-33.930186,151.225447
373,St Michael's School,356-372 Harrison Street,Deniliquin,2710,Catholic,Primary,-35.53091,144.961567
374,St Michael's Catholic Primary School,181-187 Longueville Road,Lane Cove,2066,Catholic,Primary,-33.819014,151.169995
375,St Michael's School,45 Rowan Street,Manilla,2346,Catholic,Primary,-30.750059000000004,150.723451
376,St Michael's Catholic Primary School,Maxim Street,Meadowbank,2114,Catholic,Primary,-33.812298,151.08724099999998
377,St Michael's Catholic Primary School,Alfred St,Mittagong,2575,Catholic,Primary,-34.447452,150.449884
378,St Michael's Primary School,Sproule Street,Nelson Bay,2315,Catholic,Primary,-32.722709,152.135301
