id,school_name,school_address,suburb,postcode,school_type,school_lat,school_lon
240,St Mary MacKillop College - Isabella Plains Campus,Ellerston Avenue,Isabella Plains,2903,Catholic systemic,-35.404923,149.089258
241,St Mary MacKillop College - Wanniassa Campus,Mackinnon Street,Wanniassa,2903,Catholic systemic,-35.404923,149.089258
242,St Matthew's Primary,Stutchbury Street,Page,2614,Catholic systemic,-35.240755,149.041555
243,St Michael's Primary,Tyrell Circuit,Kaleen,2617,Catholic systemic,-35.223474,149.109707
244,St Monica's Primary,Moynihan Street,Evatt,2617,Catholic systemic,-35.213525,149.061289
245,St's Peter & Paul,Wisdom Street,Garran,2605,Catholic systemic,-35.339376,149.092732
246,St Thomas Aquinas Primary,Lhotsky Street,Charnwood,2615,Catholic systemic,-35.205121,149.029638
247,St Thomas More's Primary,White Crescent,Campbell,2612,Catholic systemic,-35.286717,149.156836
248,St Thomas the Apostle Primary,Boddington Crescent,Kambah,2902,Catholic systemic,-35.382449,149.051977
249,St Vincent's Primary,Bindel Street,Aranda,2614,Catholic systemic,-35.254993,149.076661
250,Taqwa School,Crofts Crescent,Spence,2615,Independent Islamic,-35.1981297,149.065433
251,The Galilee School,PO Box 1066,Tuggeranong,2901,Independent Special Assistance School,-35.380778,149.035968
252,Trinity Christian School,McBryde Crescent,Wanniassa,2903,Independent Christian,-35.408265,149.086051
